hbm_id,cycles,mem_cycles,avg_latency,repair_none,repair_layer_a,repair_layer_b,repair_layer_c,repair_layer_d,total_repaired,K,bad_banks,ded_rows
1095,3695314.0,3695895.0,26.10114669375,584724,0,40,4,2205,2249,65,2,684
1096,3695363.0,3695905.0,26.10206865625,586927,2,40,4,0,46,0,0,674
1097,3695318.0,3695891.0,26.10099255625,585789,0,54,1,1129,1184,33,1,677
1098,3695363.0,3695905.0,26.10206865625,586925,0,46,2,0,48,0,0,659
1099,3695314.0,3695894.0,26.10135876875,577687,1,55,2,9228,9286,261,8,665
1100,3695344.0,3695911.0,26.10154020625,572341,0,47,2,14583,14632,427,13,647
1101,3695331.0,3695896.0,26.1008723875,572587,1,42,2,14341,14386,427,13,645
1102,3695363.0,3695905.0,26.10206865625,586917,0,52,4,0,56,0,0,653
1103,3695346.0,3695905.0,26.1016479625,573123,0,64,0,13786,13850,394,12,658
1104,3695330.0,3695908.0,26.10143565625,581197,1,46,0,5729,5776,162,5,665
1105,3695363.0,3695905.0,26.10206865625,586923,0,50,0,0,50,0,0,674
1106,3695273.0,3695881.0,26.10129118125,579076,0,50,1,7846,7897,228,7,685
1107,3695363.0,3695905.0,26.10206865625,586929,1,43,0,0,44,0,0,667
1108,3695282.0,3695884.0,26.10114158125,579935,0,57,3,6978,7038,195,6,672
1109,3695266.0,3695860.0,26.10111426875,575230,1,52,2,11688,11743,327,10,667
1110,3695363.0,3695905.0,26.10206865625,586911,0,59,3,0,62,0,0,709
1111,3695363.0,3695905.0,26.10206865625,586918,2,52,1,0,55,0,0,672
1112,3695330.0,3695898.0,26.1013217,584658,0,47,2,2266,2315,65,2,674
1113,3695329.0,3695890.0,26.10110830625,583283,0,41,2,3647,3690,97,3,653
1114,3695328.0,3695887.0,26.1011271375,583402,0,41,1,3529,3571,97,3,714
1115,3695339.0,3695904.0,26.101316325,580150,0,44,1,6778,6823,195,6,654
1116,3695315.0,3695883.0,26.10118294375,581181,2,62,4,5724,5792,162,5,685
1117,3695302.0,3695904.0,26.1012338375,576631,0,63,1,10278,10342,294,9,693
1118,3695333.0,3695890.0,26.10140930625,580003,1,37,2,6930,6970,195,6,660
